Date,AAPL,AMZN,BA,BRK-B,CAT,CVX,DUK,F,GE,GOOGL,JNJ,JPM,KO,MSFT,NVDA,PFE,PG,SO,WMT,XOM
2012-08-14,19.1124324798584,11.659500122070312,61.10765838623047,84.94000244140625,63.48040771484375,67.9911117553711,40.18239212036133,5.286864280700684,79.4492416381836,16.6919002532959,48.315853118896484,26.464689254760742,26.67739486694336,24.243995666503906,0.33450695872306824,14.211709022521973,46.97463607788086,27.226526260375977,19.16706085205078,53.664794921875
2012-08-15,19.08641242980957,11.871000289916992,60.85780715942383,84.70999908447266,63.292545318603516,68.08182525634766,39.78614044189453,5.314866065979004,79.52513122558594,16.663944244384766,48.1117057800293,26.443296432495117,26.657066345214844,24.300321578979492,0.33198481798171997,14.247276306152344,46.91127014160156,27.10382652282715,19.281023025512695,53.543113708496094
2012-08-16,19.253122329711914,12.077500343322754,61.332523345947266,85.22000122070312,64.00054168701172,68.5354232788086,39.738468170166016,5.370871067047119,79.86658477783203,16.796995162963867,48.00612258911133,26.464689254760742,26.79256820678711,24.767019271850586,0.3388630449771881,14.235413551330566,47.164676666259766,26.9168701171875,18.68536949157715,53.95079040527344
2012-08-17,19.609235763549805,12.058500289916992,61.55740737915039,85.87000274658203,65.0263900756836,68.13626098632812,39.61929702758789,5.393273830413818,79.6769027709961,16.903587341308594,47.724571228027344,26.379085540771484,26.77901268005371,24.863582611083984,0.3358825147151947,14.09910774230957,47.164676666259766,26.92271614074707,18.643930435180664,53.78648376464844
2012-08-20,20.124805450439453,12.017499923706055,61.49079132080078,85.75,65.33704376220703,68.05160522460938,39.589500427246094,5.393273830413818,79.41133117675781,16.8636474609375,47.65415573120117,26.65728187561035,26.738365173339844,24.734827041625977,0.3358825147151947,14.17022705078125,46.988704681396484,26.858442306518555,18.72421646118164,53.5126838684082
2012-08-21,19.849767684936523,11.97249984741211,61.024375915527344,85.22000122070312,65.22869110107422,67.7249984741211,39.363067626953125,5.3372673988342285,79.1077651977539,16.71312141418457,47.710479736328125,27.135229110717773,26.596107482910156,24.78311538696289,0.3349652886390686,14.039847373962402,47.0027961730957,26.770803451538086,18.4989013671875,53.214569091796875
2012-08-22,20.237354278564453,12.154999732971191,60.632930755615234,85.69000244140625,64.09446716308594,67.82779693603516,39.32732391357422,5.314866065979004,78.84217834472656,16.904586791992188,47.689369201660156,26.98542594909668,26.26416015625,24.573904037475586,0.3356531262397766,14.045770645141602,47.05910110473633,26.928550720214844,18.58695411682129,53.378841400146484
2012-08-23,20.048553466796875,12.0600004196167,58.60072708129883,85.1500015258789,63.3070182800293,67.30770111083984,38.87445831298828,5.292464256286621,78.31099700927734,16.89510154724121,47.68232345581055,26.557430267333984,25.817058563232422,24.348608016967773,0.32808732986450195,14.069475173950195,46.939430236816406,26.630578994750977,18.53256607055664,53.123294830322266
2012-08-24,20.0664005279541,12.286999702453613,59.20872497558594,85.38999938964844,63.19142532348633,67.74314880371094,39.01150894165039,5.314866065979004,78.91808319091797,16.940784454345703,48.01617431640625,26.51462173461914,26.060932159423828,24.589998245239258,0.33473607897758484,14.22948932647705,47.17877960205078,26.805862426757812,18.675004959106445,53.57354736328125
2012-08-27,20.443397521972656,12.196000099182129,59.45024490356445,85.41000366210938,62.58456039428711,67.57378387451172,39.03535079956055,5.258862018585205,79.1077651977539,16.705881118774414,47.93803405761719,26.557430267333984,25.857696533203125,24.69460678100586,0.32900431752204895,14.158369064331055,47.24211502075195,26.893503189086914,18.776012420654297,53.38490295410156
